,group,name,message
0,1,Albus Dumbledore,"I should have known that you would be here, Professor McGonagall."
1,1,Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true Albus?"
2,1,Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad."
3,1,Minerva McGonagall,And the boy?
4,1,Albus Dumbledore,Hagrid is bringing him.
5,1,Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?
6,1,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life."
7,1,Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall."
8,1,Albus Dumbledore,"No problems, I trust, Hagrid?"
9,1,Rubeus Hagrid,"No, Sir. Little tyke fell asleep just as we were flying over Bristol. Heh.Try not to wake him. There you go."
10,1,Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are"
11,1,Albus Dumbledore,The only family he has.
12,1,Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.
13,1,Albus Dumbledore,Exactly. He's far better off growing up away from all of that. Until he is ready.
14,1,Albus Dumbledore,"There there, Hagrid. It's not really goodbye, after all."
15,1,Albus Dumbledore,"Good luck, Harry Potter."
16,2,Petunia Dursley,Up. Get up. Now!
17,2,Dudley Dursley,"Wake up, cousin! We're going to the zoo!"
18,2,Petunia Dursley,"Oh, here he comes, the birthday boy!"
19,2,Vernon Dursley,"Happy birthday, son."
20,2,Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything."
21,2,Harry Potter,"Yes, Aunt Petunia."
22,2,Petunia Dursley,I want everything to be perfect for my Dudley's special day.
23,2,Vernon Dursley,"Hurry up! Bring my coffee, boy!"
24,2,Harry Potter,"Yes, Uncle Vernon."
25,2,Petunia Dursley,"Aren't they wonderful, darling?"
26,2,Dudley Dursley,How many are there?
27,2,Vernon Dursley,Thirty-six. Counted them myself.
28,2,Dudley Dursley,"Thirty-six?! But last year, last year I had thirty-seven!"
29,2,Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year."
30,2,Dudley Dursley,I don't care how big they are!
31,2,Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
32,2,Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.
33,2,Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
34,2,Dudley Dursley,Make it move.
35,2,Vernon Dursley,Move!
36,2,Dudley Dursley,MOVE!
37,2,Harry Potter,He's asleep!
38,2,Dudley Dursley,He's boring.
39,2,Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you."
40,2,Harry Potter,Can you hear me? It's just I've never talked to a snake before. Do you I mean do you talk to people often?
41,2,Harry Potter,"You're from Burma, aren't you? Was it nice there, do you miss your family?"
42,2,Harry Potter,"I see. That's me as well. I never knew my parents, either."
43,2,Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!"
44,2,Dudley Dursley,Whoa! Ahh! Ahh!!
45,2,Snake,Thanks.
46,2,Harry Potter,Any time.
47,2,Dudley Dursley,"Mum, mummy!"
48,2,Petunia Dursley,AHH!
49,2,Dudley Dursley,"Mum, help! Help me!"
50,2,Petunia Dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
51,3,Petunia Dursley,"It's all right, sweetheart. It's all right."
52,3,Harry Potter,Ow!
53,3,Vernon Dursley,What happened?!
54,3,Harry Potter,"I swear I don't know! One minute, the glass was there and then it was gone! It was like magic!"
55,3,Vernon Dursley,There's no such thing as magic!
56,3,Vernon Dursley,"Oh, Marge is ill! Ate a funny whelk."
57,3,Dudley Dursley,Dad! Look! Harry's got a letter!
58,3,Harry Potter,"Hey, give it back! It's mine!"
59,3,Vernon Dursley,Yours? Who'd be writing to you?
60,3,Vernon Dursley,No more mail through this letterbox.
61,3,Petunia Dursley,"Have a lovely day at the office, dear."
62,3,Vernon Dursley,Shoo! Go on!
63,3,Vernon Dursley,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
64,3,Harry Potter,Because there's no post on Sunday?
65,3,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single letter, not one. No, sir, not one blasted, miserable-"
66,3,Dudley Dursley,AHH! Make it stop! Please make it stop! 
67,3,Vernon Dursley,"Go away, ahh!"
68,3,Dudley Dursley,What is it? Please tell me what is happening!
69,3,Vernon Dursley,Give me that! Give me that letter!
70,3,Harry Potter,Get off! Ahh!
71,3,Vernon Dursley,Ahh!
72,3,Harry Potter,They're my letters! Let go of me!
73,3,Vernon Dursley,That's it! We're going away! Far away! Where they can't find us!
74,3,Dudley Dursley,"Daddy's gone mad, hasn't he?!"
75,4,Harry Potter,"Make a wish, Harry."
